episode,Cone L7,ConeInv L7,HourG L7,HourGInv L7,Line L7,Cone L6,ConeInv L6,HourG L6,HourGInv L6,Line L6,Cone L5,ConeInv L5,HourG L5,HourGInv L5,Line L5,Cone L4,ConeInv L4,HourG L4,HourGInv L4,Line L4,Cone L3,ConeInv L3,HourG L3,HourGInv L3,Line L3
500,17.42127154,31.89576141,26.85522583,36.62971181,19.08768773,11.10660387,47.73976657,68.97493532,58.87652005,45.09602407,14.14606288,24.84932472,39.34275004,25.57283749,52.4147807,18.9157859,113.3183202,95.46310479,77.05722147,98.43884589,47.33588525,55.96108287,76.3987982,51.53927621,36.76477608
550,19.37794831,32.16100125,26.9765637,36.51431505,20.50287627,12.0144895,47.52150508,67.60068733,58.55818995,44.31019413,15.19791543,28.06497652,38.55072293,26.52396729,52.97624881,19.67012112,110.6743832,93.80814388,75.50487385,97.85374649,46.52826412,55.78843925,76.14568191,51.13782427,37.81963824
600,21.15201369,34.22639069,27.11551822,36.16141515,20.88249004,13.43216979,46.94991907,68.25438566,57.16767221,43.19129468,16.84127976,29.46171869,38.46502367,25.74314855,55.06060066,20.40531216,107.8125861,93.10799245,72.94253811,96.11980254,45.43927251,54.90335175,73.55743037,49.18603752,38.67579077
650,22.02839891,34.51598057,27.2021528,36.13790502,21.65969183,14.65725956,47.43307307,70.67595741,57.1741429,42.41844991,17.48613053,30.27220603,38.48280716,26.06056913,54.70011327,21.24883278,104.9133941,91.02600806,70.76120571,94.50746616,45.14590192,53.98658825,73.94418756,48.5851114,40.20816189
700,23.26204307,35.13623492,27.59302955,35.93044094,22.78683926,14.94789074,47.34259827,70.43382686,56.97793819,41.96094298,17.72998795,30.20602677,39.98887203,26.16052684,54.0506979,21.8193817,103.6640974,89.27073516,69.56812704,91.49425837,45.54643313,54.40490582,74.38646541,48.63292716,41.74692892
750,24.60027558,35.57637543,28.73296856,35.77441488,23.8271533,15.62802167,47.83469267,70.44381912,56.0569462,41.97733335,18.23170382,30.62012577,40.29581972,26.65788211,54.21305375,22.77126525,100.3622193,87.10495533,67.44082717,89.4421052,44.92165007,56.49626224,74.41901503,47.70730586,42.12704623
800,24.22622944,36.23490036,29.92109617,38.6169511,24.31352321,16.65090883,47.25424124,69.34264778,56.81466821,40.93263655,18.9726876,31.44759698,40.21601995,27.49937191,54.94154986,23.85669152,96.70702807,84.83780419,66.49247915,86.74822957,45.57610777,57.4579208,72.64339486,46.46331772,41.48979503
850,24.01542429,37.62299542,31.34599151,40.31373768,25.21528903,18.05966194,46.46649109,68.54143508,54.91105829,41.6857338,19.66454739,33.30387796,40.44544991,28.39472728,56.76863716,24.80138822,96.14159239,83.12460534,64.23522073,84.51292475,45.40395612,57.02580879,70.20903272,45.64797727,41.04040673
900,24.40697152,37.56201044,31.48089523,40.54676915,25.70707296,18.73045179,47.07644328,69.2769911,53.18080405,43.13928003,20.60895172,33.96638937,41.11598371,28.4507421,57.64197998,25.34957638,94.28402018,81.60613352,63.09668881,82.86289369,45.2466124,56.19191866,70.11323936,45.62693578,40.49725145
950,24.85666535,37.91394152,32.56644104,40.76748757,26.65774139,18.80421818,47.27475989,67.6050497,55.16107759,43.18279332,21.16392363,35.73810493,42.01372286,29.49902886,56.94996281,25.04765589,90.90367019,78.80750846,61.65309072,80.82451258,46.1064933,56.08593452,71.24075404,45.38409677,40.29874781
1000,25.14638959,37.57137527,32.64372517,41.67181112,27.26422952,19.77172483,47.86307929,68.2554065,54.4057676,42.75783086,22.19696757,37.46638768,43.02745853,30.4495245,56.79867119,24.87652551,87.64980384,80.83669167,60.3850832,79.85631756,45.89892405,55.35629603,69.25571655,44.1218785,41.56663375
